Action,Corporate Cluster ID,Old Jobs Search URL,Resolved Corporate Website,Resolved Careers Landing URL,Resolved Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Portal Resolution Status,Portal Verification URL,Portal Verified Date,Resolution Parent Override,Resolution Wave,Reason
UPDATE,CG-B9EB363F46,https://careers.abbvie.com/en/search-jobs,https://www.abbvie.com,https://careers.abbvie.com/en/,https://careers.abbvie.com/en/jobs?lang=en-US,Global branded portal,Phenom-style branded portal / backend unverified,High,VERIFIED_CORRECTION_2,https://careers.abbvie.com/en/,2026-08-31,,C2,Run 23 old search route returned 404; the current official AbbVie careers site exposes the jobs endpoint
UPDATE,CG-AB240C67AA,https://careers.fortescue.com/en/jobs,https://www.fortescue.com,https://careers.fortescue.com/en,https://careers.fortescue.com/en,Global Australia-led portal,Custom / branded portal,High,VERIFIED_CORRECTION_2,https://careers.fortescue.com/en,2026-08-31,,C2,Run 23 SuccessFactors route returned 404; the current official careers page contains the live vacancy list
UPDATE,CG-27B4D0F8EE,https://cgi.jobs/,https://www.cgi.com,https://www.cgi.com/en/careers,https://cgi.njoyn.com/CORP/xweb/xweb.asp?CLID=21001&lang=1&page=JobListing,Global CGI job portal,Custom / branded portal,Verified,VERIFIED_CORRECTION_2,https://www.cgi.com/en/careers,2026-08-31,,C2,Run 23 legacy host failed to connect; the current official CGI careers page links this global job listing
UPDATE,CG-0DE37690DB,https://cibc.wd3.myworkdayjobs.com/cibc_careers,https://www.cibc.com,https://www.cibc.com/en/about-cibc/careers.html,https://cibc.wd3.myworkdayjobs.com/search,Canada and global CIBC portal,Workday,Verified,VERIFIED_CORRECTION_2,https://www.cibc.com/en/about-cibc/careers.html,2026-08-31,,C2,Run 23 old Workday site returned 404; Browse all opportunities on the official CIBC careers page links the search site
UPDATE,CG-E42776AA51,https://jobs.netflix.com/search,https://jobs.netflix.com,https://www.jobs.netflix.com/,https://explore.jobs.netflix.net/careers,Global Netflix jobs portal,Custom Netflix Jobs,Verified,VERIFIED_CORRECTION_2,https://www.jobs.netflix.com/,2026-08-31,,C2,Run 23 old search path returned 404; View Open Roles on the current official Netflix careers site links the new portal
SUSPEND,CG-FD0896BD64,https://careersatdoordash.com/,,,,,,,,https://careersatdoordash.com/,2026-08-31,,,Run 23 robots access denial; retain the mapping but suspend automatic scanning
SUSPEND,CG-5D8A11D6AC,https://content.mobb.ai/careers,,,,,,,,https://mobb.ai/about-us,2026-08-31,,,Run 23 careers endpoint returned 404 while the official company site still links it; suspend pending a replacement
SUSPEND,CG-EA62AD10EF,https://cycode.com/careers/position/,,,,,,,,https://cycode.com/careers/position/,2026-08-31,,,Run 23 access challenge returned HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-CED0C686E8,https://eaton.eightfold.ai/careers,,,,,,,,https://jobs.eaton.com/,2026-08-31,,,Run 23 robots policy disallows the careers route; retain the mapping but suspend automatic scanning
SUSPEND,CG-BD368AF9D3,https://eng.gruppohera.it/it/work-with-us-join-our-group,,,,,,,,https://eng.gruppohera.it/it/work-with-us-join-our-group,2026-08-31,,,Run 23 route redirected to a 404 and no current replacement was verified; suspend pending manual review
SUSPEND,CG-FF07ED39BF,https://group.bnpparibas/en/careers,,,,,,,,https://group.bnpparibas/en/careers,2026-08-31,,,Run 23 robots access denial; retain the mapping but suspend automatic scanning
SUSPEND,CG-0A13A55852,https://helsing.ai/careers,,,,,,,,https://helsing.ai/careers,2026-08-31,,,Run 23 returned HTTP 429 on robots.txt; suspend automatic scanning until an approved route is available
SUSPEND,CG-5B947E69C3,https://jobs.ericsson.com/careers,,,,,,,,https://www.ericsson.com/en/careers,2026-08-31,,,Run 23 robots policy disallows the careers route; retain the shared mapping but suspend automatic scanning
SUSPEND,CG-E68B072303,https://jobs.hp.com/,,,,,,,,https://jobs.hp.com/,2026-08-31,,,Run 23 access challenge returned HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-B697BD7A68,https://jobs.natwestgroup.com/search/jobs,,,,,,,,https://jobs.natwestgroup.com/search/jobs,2026-08-31,,,Run 23 access challenge returned HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-CE57FB4A64,https://jobs.saic.com/,,,,,,,,https://jobs.saic.com/,2026-08-31,,,Run 23 access challenge returned HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-6FCFB12518,https://jobs.uber.com/,,,,,,,,https://jobs.uber.com/,2026-08-31,,,Run 23 access challenge returned HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-173ABD0A38,https://joinus.evolutionmining.com/,,,,,,,,https://evolutionmining.com/careers/,2026-08-31,,,Run 23 redirected to an access challenge returning HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-DD87B74600,https://lottomaticagroup.com/it-it/home/careers,,,,,,,,https://lottomaticagroup.com/it-it/home/careers,2026-08-31,,,Run 23 robots access denial; retain the mapping but suspend automatic scanning
SUSPEND,CG-6ED8E1C3AB,https://lynasrareearths.com/careers/,,,,,,,,https://lynasrareearths.com/careers/,2026-08-31,,,Run 23 careers endpoint returned HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-6CA2F5414A,https://mycareer.verizon.com/,,,,,,,,https://mycareer.verizon.com/,2026-08-31,,,Run 23 access challenge returned HTTP 403; retain the mapping but suspend automatic scanning
SUSPEND,CG-AB24A18C53,https://n26.com/en-eu/careers,,,,,,,,https://n26.com/en-eu/careers,2026-08-31,,,Run 23 robots policy disallows the careers route; retain the mapping but suspend automatic scanning
